cve_id,component,severity,cvss_vector,cvss_version,base_score,AV,AC,PR,UI,S,C,I,A
CVE-2026-7301,sglang,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2026-7302,sglang,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1,9.1,N,L,N,N,U,N,H,H
CVE-2026-7304,sglang,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2026-44648,sillytavern,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,3.1,7.5,N,H,N,R,U,H,H,H
CVE-2026-44649,sillytavern,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.1,9.8,N,L,N,N,U,H,H,H
CVE-2026-44650,sillytavern,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:H,3.1,9.1,N,L,N,N,U,N,H,H
CVE-2026-46372,sillytavern,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,3.1,8.5,N,L,L,N,C,H,L,N
CVE-2025-10096,simstudioai,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,3.1,6.2,N,L,L,N,U,L,L,L
CVE-2025-10097,simstudioai,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,3.1,6.2,N,L,L,N,U,L,L,L
CVE-2025-15099,simstudioai,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,3.1,7.3,N,L,N,N,U,L,L,L
CVE-2025-7107,simstudioai,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.1,5.3,N,L,N,N,U,L,N,N
